date,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,people_fully_vaccinated_per_hundred
2021-04-13,AUT,2263378.0,1595294.0,668146.0,45300.0,54251.0,25.13,6024.0,7.42
2021-04-14,AUT,2331113.0,1649355.0,681820.0,67735.0,55930.0,25.88,6210.0,7.57
2021-04-15,AUT,2405792.0,1704965.0,700890.0,74679.0,56167.0,26.71,6236.0,7.78
2021-04-16,AUT,2476337.0,1756948.0,719453.0,70545.0,54993.0,27.5,6106.0,7.99
2021-04-17,AUT,2533993.0,1792959.0,741098.0,57656.0,53876.0,28.14,5982.0,8.23
2021-04-18,AUT,2553219.0,1807880.0,745403.0,19226.0,52906.0,28.35,5874.0,8.28
2021-04-19,AUT,2585050.0,1833949.0,751165.0,31831.0,52425.0,28.7,5821.0,8.34
2021-04-20,AUT,2630506.0,1866715.0,763856.0,45456.0,52447.0,29.21,5823.0,8.48
2021-04-21,AUT,2693911.0,1919337.0,774640.0,63405.0,51828.0,29.91,5755.0,8.6
2021-04-22,AUT,2764975.0,1979811.0,785230.0,71064.0,51312.0,30.7,5697.0,8.72
2021-04-23,AUT,2833523.0,2036881.0,796708.0,68548.0,51027.0,31.46,5666.0,8.85
2021-04-24,AUT,2873729.0,2071252.0,802544.0,40206.0,48534.0,31.91,5389.0,8.91
2021-04-25,AUT,2901565.0,2097283.0,804350.0,27836.0,49764.0,32.22,5525.0,8.93
2021-04-26,AUT,2932375.0,2124558.0,807887.0,30810.0,49618.0,32.56,5509.0,8.97
2021-04-27,AUT,2980604.0,2161445.0,819232.0,48229.0,50014.0,33.09,5553.0,9.1
2021-04-28,AUT,3039081.0,2205480.0,833675.0,58477.0,49310.0,33.74,5475.0,9.26
2021-04-29,AUT,3115449.0,2266660.0,848890.0,76368.0,50068.0,34.59,5559.0,9.43
2021-04-30,AUT,3196346.0,2333855.0,862612.0,80897.0,51832.0,35.49,5755.0,9.58
